"Rank","Player","G","ATT","YDS","Y/ATT","YBCON","YBCON/ATT","YACON","YACON/ATT","BRKTKL","TK LOSS","TK LOSS YDS","LNG TD","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG","REC","TGT","RZ TGT","YACON"
"1","Josh Jacobs (GB)","17","340","1,653","4.9","825","2.4","828","2.4","31","26","-57","86","41","7","4","2","1","86","53","64","4","61"
"2","Christian McCaffrey (SF)","17","244","1,139","4.7","678","2.8","461","1.9","10","21","-33","38","28","9","4","1","0","49","85","108","9","221"
"3","Derrick Henry (BAL)","16","349","1,538","4.4","735","2.1","803","2.3","35","35","-71","48","37","10","4","4","2","56","33","41","6","46"
"4","Austin Ekeler (WAS)","17","204","915","4.5","518","2.5","397","1.9","5","20","-33","72","22","4","2","2","2","72","107","127","23","180"
"5","Nick Chubb (HOU)","17","302","1,525","5.0","823","2.7","702","2.3","28","28","-61","41","47","13","4","1","0","41","27","37","1","55"
"6","Saquon Barkley (PHI)","16","295","1,312","4.4","748","2.5","564","1.9","12","31","-77","36","32","9","4","2","1","68","57","76","2","86"
"7","Jamaal Williams (FA)","17","262","1,066","4.1","648","2.5","418","1.6","11","20","-43","51","22","4","2","2","2","58","12","16","2","25"
"8","Tony Pollard (TEN)","16","193","1,007","5.2","504","2.6","503","2.6","11","19","-60","57","31","9","4","3","2","57","39","55","8","39"
"9","Dalvin Cook (FA)","17","264","1,173","4.4","680","2.6","486","1.8","12","34","-65","81","30","5","4","3","2","81","39","56","10","60"
"10","Miles Sanders (DAL)","17","259","1,269","4.9","837","3.2","432","1.7","13","22","-32","40","34","9","2","1","0","40","20","26","0","17"
"11","Aaron Jones Sr. (MIN)","17","213","1,121","5.3","642","3.0","479","2.2","13","23","-57","15","31","6","4","0","0","36","59","72","9","71"
"12","Najee Harris (LAC)","17","272","1,034","3.8","575","2.1","459","1.7","21","22","-49","19","20","1","1","0","0","36","41","53","7","61"
"13","Joe Mixon (HOU)","15","212","826","3.9","515","2.4","311","1.5","8","15","-33","14","16","4","2","1","0","40","60","75","13","114"
"14","Rhamondre Stevenson (NE)","17","210","1,040","5.0","599","2.9","441","2.1","24","18","-43","34","30","7","4","1","0","49","69","88","6","115"
"15","Kenneth Walker III (SEA)","15","228","1,050","4.6","620","2.7","430","1.9","12","33","-83","74","29","10","5","3","3","74","27","35","1","32"
"16","Travis Etienne Jr. (JAC)","17","220","1,125","5.1","729","3.3","396","1.8","14","29","-57","62","26","8","5","4","1","62","35","45","5","30"
"17","Ezekiel Elliott (FA)","15","231","876","3.8","518","2.2","358","1.5","9","16","-35","14","17","5","0","0","0","27","17","23","1","22"
"18","Alvin Kamara (NO)","15","223","897","4.0","448","2.0","449","2.0","7","16","-33","4","20","3","0","0","0","27","57","77","11","123"
"19","James Conner (ARI)","13","183","782","4.3","442","2.4","340","1.9","5","12","-17","22","15","3","0","0","0","23","46","58","4","83"
"20","Leonard Fournette (FA)","16","189","668","3.5","382","2.0","286","1.5","4","19","-30","1","14","1","0","0","0","23","73","83","9","198"
"21","David Montgomery (DET)","16","201","801","4.0","415","2.1","386","1.9","20","13","-41","9","17","2","0","0","0","28","34","40","3","112"
"22","Tyler Allgeier (ATL)","16","210","1,035","4.9","609","2.9","426","2.0","5","15","-24","5","21","6","3","3","0","44","16","17","0","51"
"23","D'Andre Swift (CHI)","14","99","542","5.5","387","3.8","171","1.7","5","12","-26","17","14","3","3","2","2","50","48","70","14","73"
"24","Jerick McKinnon (FA)","17","72","291","4.0","180","2.5","111","1.5","6","8","-12","26","5","2","1","0","0","30","56","71","15","70"
"25","Devin Singletary (NYG)","17","178","822","4.6","543","3.1","279","1.6","9","19","-43","33","21","5","2","0","0","33","38","52","7","47"
"26","A.J. Dillon (PHI)","17","186","770","4.1","451","2.4","319","1.7","6","9","-18","21","15","3","0","0","0","27","28","43","4","55"
"27","Raheem Mostert (LV)","16","181","891","4.9","502","2.8","389","2.1","16","15","-28","24","27","6","1","1","1","67","31","42","7","82"
"28","Jeff Wilson Jr. (SF)","16","176","860","4.9","581","3.3","279","1.6","9","16","-20","32","24","7","3","1","0","41","22","37","6","30"
"29","Dameon Pierce (HOU)","13","220","939","4.3","433","2.0","506","2.3","27","28","-61","75","22","7","3","2","1","75","30","39","2","51"
"30","Cordarrelle Patterson (FA)","13","144","695","4.8","411","2.9","284","2.0","4","16","-33","17","18","4","1","1","0","40","21","31","3","6"
"31","Cam Akers (NO)","15","188","786","4.2","369","2.0","417","2.2","13","22","-51","14","17","3","2","1","0","42","13","18","3","36"
"32","Latavius Murray (FA)","14","171","760","4.4","473","2.8","287","1.7","5","10","-21","10","16","5","2","1","1","52","27","35","0","16"
"33","D'Onta Foreman (FA)","16","203","914","4.5","505","2.5","409","2.0","10","17","-28","12","21","8","2","1","1","60","5","9","1","14"
"34","Isiah Pacheco (KC)","17","170","830","4.9","526","3.1","304","1.8","4","5","-9","8","15","3","1","0","0","31","13","14","1","30"
"35","Antonio Gibson (NE)","15","149","546","3.7","326","2.2","220","1.5","5","9","-26","1","11","1","0","0","0","20","46","58","6","51"
"36","Jonathan Taylor (IND)","12","192","861","4.5","480","2.5","381","2.0","24","15","-30","66","21","5","1","1","1","66","28","40","3","46"
"37","Khalil Herbert (IND)","13","129","731","5.7","428","3.3","303","2.3","7","8","-13","12","22","4","3","2","2","63","9","12","1","11"
"38","Samaje Perine (CIN)","16","95","394","4.1","232","2.4","162","1.7","5","6","-19","7","5","1","0","0","0","29","38","51","7","80"
"39","Brian Robinson Jr. (WAS)","12","205","797","3.9","449","2.2","348","1.7","8","12","-19","1","18","2","0","0","0","24","9","12","1","13"
"40","Breece Hall (NYJ)","7","80","463","5.8","332","4.2","131","1.6","3","9","-21","62","15","3","2","1","1","62","19","31","5","42"
"41","Kareem Hunt (KC)","17","123","468","3.8","232","1.9","236","1.9","6","13","-33","24","14","2","0","0","0","24","35","44","7","58"
"42","Rachaad White (TB)","17","129","481","3.7","315","2.4","166","1.3","4","11","-25","1","8","2","1","0","0","35","50","58","8","65"
"43","Kenyan Drake (FA)","12","109","482","4.4","355","3.3","127","1.2","0","15","-32","30","11","5","3","1","0","40","17","26","5","6"
"44","James Cook (BUF)","17","91","525","5.8","347","3.8","178","2.0","3","5","-7","27","13","6","1","0","0","33","21","32","6","12"
"45","Michael Carter (ARI)","16","114","402","3.5","268","2.4","134","1.2","7","9","-21","6","7","3","0","0","0","25","41","54","8","30"
"46","Clyde Edwards-Helaire (NO)","10","71","302","4.3","134","1.9","168","2.4","3","4","-12","16","5","2","1","1","1","52","17","23","6","52"
"47","James Robinson (FA)","11","110","425","3.9","287","2.6","138","1.3","6","12","-17","50","9","4","2","1","1","50","11","14","3","5"
"48","J.K. Dobbins (DEN)","8","92","520","5.7","318","3.5","202","2.2","9","8","-14","4","16","4","2","1","0","44","7","8","2","8"
"49","Damien Harris (FA)","11","106","462","4.4","303","2.9","159","1.5","5","7","-19","5","11","2","1","0","0","30","17","23","6","30"
"50","Chuba Hubbard (CAR)","14","95","466","4.9","295","3.1","171","1.8","4","6","-12","17","10","3","3","0","0","35","14","17","0","50"
"51","Alexander Mattison (MIA)","17","74","283","3.8","168","2.3","115","1.6","6","11","-23","14","9","0","0","0","0","15","15","18","5","24"
"52","Jaylen Warren (PIT)","16","77","379","4.9","242","3.1","137","1.8","5","4","-6","2","11","3","1","0","0","31","28","33","4","75"
"53","Kenneth Gainwell (PIT)","17","53","240","4.5","169","3.2","71","1.3","2","1","-1","10","7","0","0","0","0","13","23","29","3","30"
"54","Eno Benjamin (FA)","13","77","313","4.1","158","2.1","155","2.0","7","9","-20","11","5","1","1","1","0","45","25","34","4","53"
"55","Melvin Gordon III (FA)","10","90","318","3.5","168","1.9","150","1.7","5","9","-18","1","4","0","0","0","0","17","25","32","2","19"
"56","Gus Edwards (FA)","9","87","433","5.0","245","2.8","188","2.2","6","6","-6","7","13","3","1","0","0","37","0","2","0","0"
