"Rank","Player","G","ATT","YDS","YBCON","YACON","BRKTKL","TK LOSS","TK LOSS YDS","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","REC","TGT","RZ TGT","YACON"
"1","Christian McCaffrey (SF)","16","17","91","53","38","1","2","-3","3","1","0","0","0","4","5","1","5"
"2","Raheem Mostert (LV)","15","14","67","36","31","1","1","-4","2","0","0","0","0","2","2","0","4"
"3","Travis Etienne Jr. (JAC)","17","16","59","34","26","2","2","-4","1","0","0","0","0","3","4","0","9"
"4","Kyren Williams (LAR)","12","19","95","57","38","2","1","-2","2","1","0","0","0","3","4","1","4"
"5","Derrick Henry (BAL)","17","16","69","33","35","1","2","-4","1","0","0","0","0","2","2","0","3"
"6","Joe Mixon (HOU)","17","15","61","39","21","1","1","-3","2","0","0","0","0","3","4","1","8"
"7","Breece Hall (NYJ)","17","13","58","29","29","1","2","-4","1","0","0","0","0","4","6","0","12"
"8","Rachaad White (TB)","17","16","58","35","23","1","1","-2","1","0","0","0","0","4","4","0","7"
"9","David Montgomery (DET)","14","16","73","37","36","1","1","-2","2","0","0","0","0","1","2","0","2"
"10","Jahmyr Gibbs (DET)","15","12","63","32","31","1","1","-3","2","1","0","0","0","3","5","0","5"
"11","James Cook (BUF)","17","14","66","38","28","0","1","-3","2","0","0","0","0","3","3","0","6"
"12","Bijan Robinson (ATL)","17","13","57","33","24","1","1","-3","2","0","0","0","0","3","5","1","6"
"13","Saquon Barkley (PHI)","14","18","69","34","34","1","3","-6","2","1","0","0","0","3","4","0","3"
"14","Gus Edwards (FA)","17","12","48","26","21","1","1","-1","1","0","0","0","0","1","1","0","1"
"15","James Conner (ARI)","13","16","80","45","35","2","2","-2","2","1","0","0","0","2","3","0","6"
"16","Kenneth Walker III (SEA)","15","15","60","37","23","1","2","-4","2","0","0","0","0","2","2","0","10"
"17","Isiah Pacheco (KC)","14","15","67","39","28","1","1","-2","1","0","0","0","0","3","4","1","3"
"18","Tony Pollard (TEN)","17","15","59","29","30","1","2","-4","1","0","0","0","0","3","4","1","5"
"19","Jerome Ford (CLE)","17","12","48","26","22","2","2","-5","1","0","0","0","0","3","4","0","5"
"20","Najee Harris (LAC)","17","15","61","24","36","2","2","-4","1","0","0","0","0","2","2","0","3"
"21","De'Von Achane (MIA)","11","9","73","44","29","1","1","-2","2","1","0","0","0","2","3","1","8"
"22","Brian Robinson Jr. (WAS)","15","12","49","26","23","1","1","-1","1","0","0","0","0","2","3","0","7"
"23","D'Andre Swift (CHI)","16","14","66","40","25","1","1","-3","1","0","0","0","0","2","3","0","4"
"24","Alvin Kamara (NO)","13","14","53","31","22","1","1","-2","1","0","0","0","0","6","7","1","11"
"25","Josh Jacobs (GB)","13","18","62","35","27","1","2","-4","1","0","0","0","0","3","4","0","6"
"26","Chuba Hubbard (CAR)","17","14","53","27","26","1","1","-3","1","0","0","0","0","2","3","0","4"
"27","Zack Moss (FA)","14","13","57","32","25","0","1","-2","1","0","0","0","0","2","3","0","4"
"28","Jonathan Taylor (IND)","10","17","74","29","45","1","1","-2","2","0","0","0","0","2","2","0","3"
"29","Devin Singletary (NYG)","17","13","53","32","20","1","1","-2","1","0","0","0","0","2","2","0","2"
"30","Jaylen Warren (PIT)","17","9","46","25","21","2","1","-3","1","0","0","0","0","4","4","0","6"
"31","Austin Ekeler (WAS)","14","13","45","23","21","1","1","-3","1","0","0","0","0","4","5","1","10"
"32","Javonte Williams (DAL)","16","14","48","25","23","1","2","-3","1","0","0","0","0","3","4","0","4"
"33","Ezekiel Elliott (FA)","17","11","38","21","17","0","1","-2","0","0","0","0","0","3","4","0","6"
"34","Tyler Allgeier (ATL)","17","11","40","19","21","1","1","-2","1","0","0","0","0","1","1","0","2"
"35","Rhamondre Stevenson (NE)","12","13","52","25","27","1","1","-2","1","0","0","0","0","3","4","0","5"
"36","Aaron Jones Sr. (MIN)","11","13","60","31","29","1","1","-2","1","0","0","0","0","3","4","1","4"
"37","Kareem Hunt (KC)","15","9","27","16","12","0","1","-1","0","0","0","0","0","1","1","0","2"
"38","Alexander Mattison (MIA)","16","11","44","24","20","0","2","-3","1","0","0","0","0","2","3","1","2"
"39","Tyjae Spears (TEN)","17","6","27","14","13","0","1","-2","1","0","0","0","0","3","4","0","7"
"40","A.J. Dillon (PHI)","15","12","41","21","20","0","1","-3","1","0","0","0","0","1","2","0","7"
"41","Khalil Herbert (IND)","12","11","51","27","24","1","1","-2","1","0","0","0","0","2","3","0","2"
"42","Justice Hill (BAL)","16","5","24","17","8","1","0","-1","1","0","0","0","0","2","2","0","3"
"43","D'Onta Foreman (FA)","9","12","47","29","18","1","1","-4","1","0","0","0","0","1","2","0","2"
"44","Ty Chandler (MIN)","16","6","29","17","11","0","0","-1","1","0","0","0","0","1","2","0","3"
"45","Antonio Gibson (NE)","16","4","17","8","9","0","0","0","0","0","0","0","0","3","4","0","6"
"46","Jaleel McLaughlin (DEN)","17","4","24","14","10","0","0","-1","1","0","0","0","0","2","2","0","5"
"47","Rico Dowdle (CAR)","16","6","23","12","11","0","0","-1","0","0","0","0","0","1","1","0","2"
"48","Zach Charbonnet (SEA)","16","7","29","16","13","1","1","-2","1","0","0","0","0","2","3","0","4"
"49","Samaje Perine (CIN)","17","3","14","6","8","0","0","-1","0","0","0","0","0","3","3","0","10"
"50","Dameon Pierce (HOU)","14","10","30","13","17","1","1","-3","1","0","0","0","0","1","1","0","1"
"51","Roschon Johnson (CHI)","15","5","23","15","8","0","0","0","1","0","0","0","0","2","3","0","4"
"52","Kenneth Gainwell (PIT)","16","5","23","13","10","0","0","-1","1","0","0","0","0","2","2","0","3"
"53","Latavius Murray (FA)","15","5","20","12","8","0","0","-1","0","0","0","0","0","1","1","0","3"
"54","Keaton Mitchell (BAL)","7","7","57","34","23","1","1","-3","2","1","0","0","0","1","2","0","2"
"55","Miles Sanders (DAL)","16","8","27","13","14","1","1","-3","1","0","0","0","0","2","3","0","3"
"56","Jerick McKinnon (FA)","12","2","5","4","1","0","0","-1","0","0","0","0","0","2","3","0","2"
"57","Zamir White (LV)","15","7","30","14","16","1","0","-1","1","0","0","0","0","1","1","0","3"
"58","Joshua Kelley (FA)","17","6","24","13","11","0","1","-2","1","0","0","0","0","0","1","0","0"
"59","Clyde Edwards-Helaire (NO)","15","5","15","10","5","0","1","-1","0","0","0","0","0","1","1","0","7"
"60","Emari Demercado (ARI)","14","4","20","12","8","0","0","-1","0","0","0","0","0","2","2","0","1"
"61","Royce Freeman (FA)","11","7","29","16","13","1","0","-1","1","0","0","0","0","0","0","0","0"
"62","Jamaal Williams (FA)","13","8","24","12","12","0","1","-1","0","0","0","0","0","1","2","0","1"
"63","Jordan Mason (MIN)","16","3","13","7","6","0","0","-1","0","0","0","0","0","0","0","0","0"
"64","Elijah Mitchell (KC)","11","7","26","13","13","1","1","-1","1","0","0","0","0","1","1","0","0"
"65","Chase Brown (CIN)","12","4","15","4","11","0","1","-2","0","0","0","0","0","1","1","0","4"
"66","Pierre Strong Jr. (CLE)","17","4","17","8","9","0","0","-1","0","0","0","0","0","0","0","0","2"
"67","Chris Rodriguez Jr. (WAS)","11","5","22","11","11","0","0","0","1","0","0","0","0","0","0","0","0"
"68","Cam Akers (NO)","7","9","24","11","13","1","2","-5","1","0","0","0","0","2","2","0","5"
"69","Michael Carter (ARI)","15","2","12","9","4","0","0","0","0","0","0","0","0","2","2","0","1"
"70","Darrell Henderson Jr. (FA)","4","12","28","11","17","0","2","-5","0","0","0","0","0","3","4","1","8"
"71","Kendre Miller (NO)","8","5","20","9","11","0","0","-1","1","0","0","0","0","1","1","0","3"
"72","Matt Breida (FA)","15","4","10","6","4","0","0","-1","0","0","0","0","0","1","1","0","1"
"73","Cordarrelle Patterson (FA)","12","4","15","8","7","0","0","-1","0","0","0","0","0","1","1","0","1"
"74","Jeff Wilson Jr. (SF)","9","5","21","12","9","0","0","0","1","0","0","0","0","2","2","0","1"
"75","Salvon Ahmed (IND)","8","3","8","2","5","0","0","-1","0","0","0","0","0","2","3","1","3"
"76","Chase Edmonds (FA)","13","4","14","8","6","0","0","-2","0","0","0","0","0","1","1","0","1"
"77","Ty Johnson (BUF)","9","3","15","8","7","0","0","-1","0","0","0","0","0","1","1","0","1"
"78","Dalvin Cook (FA)","14","5","15","9","6","0","0","-1","0","0","0","0","0","1","1","0","1"
"79","Tony Jones Jr. (FA)","6","4","16","9","7","0","0","-1","1","0","0","0","0","1","2","0","1"
"80","D'Ernest Johnson (BAL)","16","3","7","5","2","0","0","-1","0","0","0","0","0","1","1","0","2"
"81","Craig Reynolds (DET)","15","3","12","7","5","0","0","0","0","0","0","0","0","0","0","0","1"
"82","Kyle Juszczyk (SF)","17","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
