"Rank","Player","G","REC","YDS","YBC","AIR","YAC","YACON","BRKTKL","TGT","CATCHABLE","DROP","RZ TGT","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS"
"1","CeeDee Lamb (DAL)","17","8","103","63","101","40","14","1","11","8","0","2","4","2","0","0","0"
"2","Tyreek Hill (MIA)","16","7","112","72","115","41","6","1","11","8","1","2","4","2","1","1","0"
"3","Amon-Ra St. Brown (DET)","16","7","95","53","81","42","10","1","10","8","1","1","4","2","0","0","0"
"4","Mike Evans (TB)","17","5","74","55","112","19","4","0","8","5","0","1","3","1","1","0","0"
"5","Puka Nacua (LAR)","17","6","87","50","85","38","14","0","9","7","1","1","3","1","1","0","0"
"6","DJ Moore (CHI)","17","6","80","49","87","32","10","1","8","6","0","1","3","1","1","0","0"
"7","Deebo Samuel Sr. (WAS)","15","4","59","24","39","35","12","1","6","4","0","1","2","1","1","0","0"
"8","A.J. Brown (PHI)","17","6","86","58","109","28","14","1","9","7","0","1","4","1","1","0","0"
"9","Nico Collins (HOU)","15","5","86","50","79","37","17","1","7","5","0","1","3","2","0","0","0"
"10","Brandon Aiyuk (SF)","16","5","84","61","92","23","6","0","7","5","0","1","4","2","1","0","0"
"11","Keenan Allen (LAC)","13","8","96","65","111","30","8","0","12","9","0","1","4","1","0","0","0"
"12","Stefon Diggs (NE)","17","6","70","46","97","23","11","1","9","7","0","1","3","1","0","0","0"
"13","Ja'Marr Chase (CIN)","16","6","76","42","76","34","8","0","9","7","0","1","3","1","0","0","0"
"14","Davante Adams (LAR)","17","6","67","48","112","20","5","0","10","7","0","2","3","1","0","0","0"
"15","DK Metcalf (PIT)","16","4","70","47","95","23","8","0","7","5","0","1","3","1","1","0","0"
"16","Amari Cooper (FA)","15","5","83","65","122","18","5","0","9","5","0","1","3","1","1","1","0"
"17","Calvin Ridley (TEN)","17","4","60","48","106","11","2","0","8","5","0","2","3","1","0","0","0"
"18","Jayden Reed (GB)","16","4","50","29","61","21","5","0","6","4","0","1","2","1","1","0","0"
"19","Jordan Addison (MIN)","17","4","54","38","79","15","6","0","6","4","0","1","2","1","0","0","0"
"20","DeAndre Hopkins (BAL)","17","4","62","49","113","13","4","0","8","5","0","1","2","1","0","0","0"
"21","Jakobi Meyers (LV)","16","4","50","35","64","15","4","0","7","5","0","1","2","1","0","0","0"
"22","DeVonta Smith (PHI)","16","5","67","48","84","18","4","0","7","5","0","0","3","1","1","0","0"
"23","George Pickens (DAL)","17","4","67","44","84","23","7","0","6","4","0","0","2","1","1","0","0"
"24","Chris Olave (NO)","16","5","70","49","115","22","4","0","9","6","0","1","3","1","0","0","0"
"25","Michael Pittman Jr. (IND)","16","7","72","40","77","32","11","0","10","7","0","1","3","1","0","0","0"
"26","Justin Jefferson (MIN)","10","7","107","81","126","26","10","0","10","7","0","1","4","3","1","0","0"
"27","Rashee Rice (KC)","16","5","59","18","31","41","9","0","6","5","1","1","2","1","0","0","0"
"28","Courtland Sutton (DEN)","16","4","48","39","66","10","3","0","6","4","0","1","2","1","0","0","0"
"29","Terry McLaurin (WAS)","17","5","59","38","89","21","6","0","8","5","0","0","2","1","0","0","0"
"30","Zay Flowers (BAL)","16","5","54","29","57","24","5","1","7","5","0","1","2","1","0","0","0"
"31","Adam Thielen (CAR)","17","6","60","40","61","20","4","0","8","6","0","1","2","1","0","0","0"
"32","Jaylen Waddle (MIA)","14","5","72","42","75","30","7","0","7","5","0","1","4","1","0","0","0"
"33","Chris Godwin (TB)","17","5","60","38","69","22","4","0","8","5","0","1","3","1","0","0","0"
"34","Tyler Lockett (TEN)","17","5","53","40","78","12","1","0","7","5","0","1","2","1","0","0","0"
"35","Brandin Cooks (NO)","16","3","41","33","67","8","3","0","5","4","0","1","1","1","0","0","0"
"36","Garrett Wilson (NYJ)","17","6","61","42","100","19","9","1","10","6","0","1","2","1","0","0","0"
"37","Tank Dell (HOU)","11","4","64","51","97","14","2","0","7","5","0","1","3","1","0","0","0"
"38","Gabe Davis (FA)","17","3","44","33","72","11","2","0","5","3","0","1","2","1","0","0","0"
"39","Romeo Doubs (GB)","17","3","40","32","66","8","2","0","6","4","0","1","2","0","0","0","0"
"40","Rashid Shaheed (NO)","16","3","45","36","68","9","2","0","5","3","0","0","1","1","1","0","0"
"41","Cooper Kupp (SEA)","12","5","61","35","66","27","8","0","8","5","0","2","2","1","1","0","0"
"42","Drake London (ATL)","16","4","57","45","79","12","4","0","7","5","0","1","2","1","0","0","0"
"43","Diontae Johnson (CLE)","13","4","55","35","86","20","5","0","7","4","0","1","2","1","0","0","0"
"44","Darius Slayton (NYG)","17","3","45","28","56","18","5","0","5","3","0","0","2","1","0","0","0"
"45","Tee Higgins (CIN)","12","4","55","35","81","20","2","0","6","4","1","1","3","1","0","0","0"
"46","Curtis Samuel (BUF)","16","4","38","22","37","16","4","0","6","4","0","1","1","0","0","0","0"
"47","Christian Kirk (HOU)","12","5","66","45","70","21","4","0","7","5","0","0","2","1","1","0","0"
"48","Josh Downs (IND)","17","4","45","24","42","22","4","0","6","4","0","1","2","1","0","0","0"
"49","Josh Reynolds (NYJ)","16","3","38","27","40","11","3","0","4","3","0","1","2","1","0","0","0"
"50","Jerry Jeudy (CLE)","16","3","47","27","69","20","5","0","5","4","0","1","2","1","0","0","0"
"51","Jaxon Smith-Njigba (SEA)","17","4","37","15","33","22","4","0","5","4","1","1","2","0","0","0","0"
"52","Marquise Brown (KC)","13","4","44","32","92","13","2","0","8","4","0","1","2","1","0","0","0"
"53","Dontayvion Wicks (GB)","15","3","39","25","39","14","7","0","4","3","0","1","2","1","0","0","0"
"54","DJ Chark Jr. (ATL)","14","3","38","32","73","6","2","0","5","3","0","0","2","1","0","0","0"
"55","Tyler Boyd (FA)","17","4","39","23","37","16","6","0","6","4","0","0","1","0","0","0","0"
"56","Michael Wilson (ARI)","13","3","43","33","55","11","3","0","4","3","0","1","2","1","0","0","0"
"57","Jahan Dotson (PHI)","17","3","30","24","46","7","1","0","5","3","0","1","1","0","0","0","0"
