"Rank","Player","G","REC","YDS","Y/R","YBC","YBC/R","AIR","AIR/R","YAC","YAC/R","YACON","YACON/R","BRKTKL","TGT","% TM","CATCHABLE","DROP","RZ TGT","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG"
"1","CeeDee Lamb (DAL)","17","135","1,749","13.0","1,069","7.9","1,722","12.8","680","5.0","233","1.7","11","181","29.9%","143","6","31","73","29","8","3","1","92"
"2","Tyreek Hill (MIA)","16","119","1,799","15.1","1,147","9.6","1,847","15.5","652","5.5","91","0.8","12","171","31.1%","131","12","24","64","29","14","9","5","78"
"3","Amon-Ra St. Brown (DET)","16","119","1,515","12.7","847","7.1","1,297","10.9","668","5.6","162","1.4","10","164","28.6%","127","8","23","60","24","6","3","1","70"
"4","Mike Evans (TB)","17","79","1,255","15.9","933","11.8","1,906","24.1","322","4.1","76","1.0","2","136","24.7%","86","7","14","46","20","10","6","3","75"
"5","Puka Nacua (LAR)","17","105","1,486","14.2","847","8.1","1,453","13.8","639","6.1","245","2.3","7","160","28.8%","117","13","16","59","25","10","3","2","80"
"6","DJ Moore (CHI)","17","96","1,364","14.2","825","8.6","1,479","15.4","539","5.6","173","1.8","9","136","28.5%","100","4","11","53","25","12","2","2","58"
"7","Deebo Samuel Sr. (WAS)","15","60","892","14.9","365","6.1","588","9.8","527","8.8","179","3.0","13","89","18.9%","63","2","17","32","15","8","6","1","54"
"8","A.J. Brown (PHI)","17","106","1,456","13.7","983","9.3","1,853","17.5","473","4.5","234","2.2","12","158","30.1%","111","7","15","62","21","9","3","1","59"
"9","Nico Collins (HOU)","15","80","1,297","16.2","748","9.4","1,186","14.8","549","6.9","258","3.2","16","109","19.3%","82","2","15","48","25","7","5","4","75"
"10","Brandon Aiyuk (SF)","16","75","1,342","17.9","980","13.1","1,467","19.6","362","4.8","96","1.3","2","105","22.3%","77","2","9","58","28","10","3","1","76"
"11","Keenan Allen (LAC)","13","108","1,243","11.5","847","7.8","1,446","13.4","396","3.7","101","0.9","5","150","24.4%","114","5","12","47","19","4","1","0","42"
"12","Stefon Diggs (NE)","17","107","1,183","11.1","784","7.3","1,653","15.4","399","3.7","182","1.7","11","160","29.4%","115","8","15","50","10","6","2","1","55"
"13","Ja'Marr Chase (CIN)","16","100","1,216","12.2","675","6.8","1,220","12.2","541","5.4","123","1.2","6","145","24.5%","105","5","19","48","14","7","4","3","76"
"14","Davante Adams (LAR)","17","103","1,144","11.1","808","7.8","1,900","18.4","336","3.3","90","0.9","2","175","33.0%","111","8","29","47","13","4","2","0","46"
"15","DK Metcalf (PIT)","16","66","1,114","16.9","747","11.3","1,525","23.1","367","5.6","120","1.8","7","119","21.8%","74","7","23","43","19","11","4","3","73"
"16","Amari Cooper (FA)","15","72","1,250","17.4","979","13.6","1,825","25.3","271","3.8","80","1.1","2","128","21.4%","79","7","13","47","21","8","8","5","75"
"17","Calvin Ridley (TEN)","17","76","1,016","13.4","822","10.8","1,797","23.6","194","2.6","39","0.5","1","136","22.4%","82","6","26","43","17","5","2","1","59"
"18","Jayden Reed (GB)","16","64","793","12.4","458","7.2","970","15.2","335","5.2","78","1.2","3","94","16.8%","67","3","14","29","13","10","3","1","59"
"19","Jordan Addison (MIN)","17","70","911","13.0","649","9.3","1,347","19.2","262","3.7","98","1.4","4","108","17.8%","73","3","15","36","15","6","3","2","62"
"20","DeAndre Hopkins (BAL)","17","75","1,057","14.1","834","11.1","1,927","25.7","223","3.0","64","0.9","4","137","28.7%","80","4","17","41","15","7","4","1","61"
"21","Jakobi Meyers (LV)","16","71","807","11.4","565","8.0","1,028","14.5","242","3.4","65","0.9","6","106","20.0%","73","2","15","38","8","2","0","0","33"
"22","DeVonta Smith (PHI)","16","81","1,066","13.2","772","9.5","1,350","16.7","294","3.6","66","0.8","4","112","21.3%","87","5","6","43","14","8","3","2","63"
"23","George Pickens (DAL)","17","63","1,140","18.1","752","11.9","1,428","22.7","388","6.2","115","1.8","5","106","21.9%","65","2","8","42","22","11","6","3","86"
"24","Chris Olave (NO)","16","87","1,123","12.9","776","8.9","1,834","21.1","347","4.0","66","0.8","3","138","23.8%","93","6","11","45","16","5","3","1","51"
"25","Michael Pittman Jr. (IND)","16","109","1,152","10.6","639","5.9","1,232","11.3","513","4.7","172","1.6","3","156","28.6%","113","3","19","42","10","6","3","1","75"
"26","Justin Jefferson (MIN)","10","68","1,074","15.8","814","12.0","1,258","18.5","260","3.8","101","1.5","2","100","16.5%","72","1","11","42","25","7","2","1","52"
"27","Rashee Rice (KC)","16","79","938","11.9","284","3.6","491","6.2","654","8.3","138","1.7","3","102","17.0%","87","8","22","36","10","4","1","1","67"
"28","Courtland Sutton (DEN)","16","59","772","13.1","616","10.4","1,060","18.0","156","2.6","44","0.7","0","90","18.9%","65","6","17","32","14","7","2","0","46"
"29","Terry McLaurin (WAS)","17","79","1,002","12.7","652","8.3","1,514","19.2","350","4.4","103","1.3","4","132","22.0%","84","5","8","41","15","6","2","0","48"
"30","Zay Flowers (BAL)","16","77","858","11.1","471","6.1","915","11.9","387","5.0","76","1.0","10","108","22.7%","82","4","13","31","12","5","4","2","75"
"31","Adam Thielen (CAR)","17","103","1,014","9.8","674","6.5","1,034","10.0","340","3.3","76","0.7","2","137","25.7%","110","7","14","40","9","3","0","0","32"
"32","Jaylen Waddle (MIA)","14","72","1,014","14.1","593","8.2","1,053","14.6","421","5.8","93","1.3","6","104","18.9%","76","4","8","49","12","6","2","2","60"
"33","Chris Godwin (TB)","17","83","1,024","12.3","648","7.8","1,180","14.2","376","4.5","64","0.8","2","130","23.6%","88","5","16","43","14","6","2","0","47"
"34","Tyler Lockett (TEN)","17","79","894","11.3","684","8.7","1,322","16.7","210","2.7","18","0.2","1","122","22.3%","84","5","12","39","9","4","0","0","37"
"35","Brandin Cooks (NO)","16","54","657","12.2","532","9.9","1,069","19.8","125","2.3","42","0.8","0","81","13.4%","57","3","12","23","11","5","0","0","37"
"36","Garrett Wilson (NYJ)","17","95","1,042","11.0","715","7.5","1,707","18.0","327","3.4","146","1.5","9","168","29.8%","103","7","17","38","11","7","2","1","68"
"37","Tank Dell (HOU)","11","47","709","15.1","557","11.9","1,070","22.8","152","3.2","25","0.5","0","75","13.3%","51","4","8","28","10","3","3","1","68"
"38","Gabe Davis (FA)","17","45","746","16.6","566","12.6","1,231","27.4","180","4.0","42","0.9","2","81","14.9%","48","3","11","27","12","6","2","1","57"
"39","Romeo Doubs (GB)","17","59","674","11.4","540","9.2","1,126","19.1","134","2.3","41","0.7","1","96","17.1%","64","6","18","31","7","3","0","0","36"
"40","Rashid Shaheed (NO)","16","46","719","15.6","568","12.3","1,094","23.8","151","3.3","26","0.6","3","75","13.0%","48","2","7","23","12","9","7","3","58"
"41","Cooper Kupp (SEA)","12","59","737","12.5","415","7.0","789","13.4","322","5.5","95","1.6","5","95","17.1%","63","4","18","24","10","7","2","1","62"
"42","Drake London (ATL)","16","69","905","13.1","717","10.4","1,269","18.4","188","2.7","63","0.9","2","110","21.7%","73","4","16","38","17","3","1","0","45"
"43","Diontae Johnson (CLE)","13","51","717","14.1","456","8.9","1,115","21.9","261","5.1","70","1.4","4","87","18.0%","54","2","10","27","10","5","2","1","71"
"44","Darius Slayton (NYG)","17","50","770","15.4","472","9.4","960","19.2","298","6.0","79","1.6","5","79","16.3%","53","3","4","26","11","6","3","2","80"
"45","Tee Higgins (CIN)","12","42","656","15.6","421","10.0","973","23.2","235","5.6","24","0.6","0","76","12.8%","49","7","9","30","8","3","2","1","80"
"46","Curtis Samuel (BUF)","16","62","613","9.9","353","5.7","599","9.7","260","4.2","63","1.0","4","91","15.1%","64","2","15","21","7","4","0","0","37"
"47","Christian Kirk (HOU)","12","57","787","13.8","540","9.5","842","14.8","247","4.3","45","0.8","3","85","14.0%","61","4","5","29","13","6","3","1","57"
"48","Josh Downs (IND)","17","68","771","11.3","400","5.9","707","10.4","371","5.5","66","1.0","2","98","17.9%","73","5","9","28","10","5","2","2","59"
"49","Josh Reynolds (NYJ)","16","40","608","15.2","435","10.9","645","16.1","173","4.3","54","1.4","2","64","11.1%","44","4","10","26","17","1","0","0","33"
"50","Jerry Jeudy (CLE)","16","54","758","14.0","435","8.1","1,109","20.5","323","6.0","80","1.5","4","87","18.2%","56","2","10","29","10","6","5","0","47"
"51","Jaxon Smith-Njigba (SEA)","17","63","628","10.0","262","4.2","569","9.0","366","5.8","61","1.0","3","93","17.0%","72","10","10","27","7","3","0","0","35"
"52","Marquise Brown (KC)","13","51","574","11.3","410","8.0","1,199","23.5","164","3.2","29","0.6","2","101","18.7%","55","4","9","26","8","2","1","0","41"
"53","Dontayvion Wicks (GB)","15","39","581","14.9","370","9.5","587","15.1","211","5.4","102","2.6","5","58","10.3%","42","3","8","26","11","3","0","0","35"
"54","DJ Chark Jr. (ATL)","14","35","525","15.0","441","12.6","1,016","29.0","84","2.4","30","0.9","1","66","12.4%","38","4","6","23","9","3","2","0","47"
"55","Tyler Boyd (FA)","17","67","667","10.0","388","5.8","637","9.5","279","4.2","108","1.6","2","98","16.6%","72","5","7","23","6","3","2","1","64"
"56","Michael Wilson (ARI)","13","38","565","14.9","426","11.2","716","18.8","139","3.7","39","1.0","3","58","10.7%","38","0","7","26","7","2","1","1","69"
"57","Jahan Dotson (PHI)","17","49","518","10.6","403","8.2","774","15.8","115","2.3","22","0.4","0","83","13.8%","53","5","11","24","5","1","0","0","33"
"58","Khalil Shakir (BUF)","17","39","611","15.7","329","8.4","402","10.3","282","7.2","51","1.3","0","45","8.3%","39","0","2","25","10","4","2","1","81"
"59","Tutu Atwell (LAR)","16","39","483","12.4","379","9.7","767","19.7","104","2.7","23","0.6","0","67","12.1%","43","4","5","20","8","5","2","0","44"
"60","Christian Watson (GB)","9","28","422","15.1","317","11.3","825","29.5","105","3.8","22","0.8","0","53","9.4%","31","3","13","14","5","3","2","2","77"
"61","Wan'Dale Robinson (NYG)","15","60","525","8.8","238","4.0","410","6.8","287","4.8","89","1.5","5","78","16.1%","63","3","2","20","7","2","0","0","33"
"62","Elijah Moore (BUF)","16","59","640","10.8","449","7.6","1,143","19.4","191","3.2","42","0.7","4","104","17.4%","64","5","13","27","9","3","1","0","42"
"63","Odell Beckham Jr. (FA)","14","35","565","16.1","410","11.7","888","25.4","155","4.4","41","1.2","0","64","13.4%","38","3","11","22","10","5","3","1","51"
"64","K.J. Osborn (WAS)","15","48","540","11.3","355","7.4","659","13.7","185","3.9","35","0.7","1","75","12.4%","53","5","10","24","7","3","1","0","47"
"65","Joshua Palmer (BUF)","11","38","581","15.3","385","10.1","693","18.2","196","5.2","22","0.6","1","61","9.9%","42","3","9","16","9","4","3","3","79"
"66","Noah Brown (WAS)","10","33","567","17.2","344","10.4","658","19.9","223","6.8","59","1.8","1","55","9.7%","36","3","7","19","14","6","1","1","75"
"67","Rondale Moore (MIN)","17","40","352","8.8","136","3.4","322","8.1","216","5.4","33","0.8","2","62","11.5%","43","3","5","13","4","2","1","0","48"
"68","Alec Pierce (IND)","17","32","514","16.1","417","13.0","969","30.3","97","3.0","30","0.9","1","65","11.9%","35","3","6","19","8","5","2","2","58"
"69","Kendrick Bourne (NE)","8","37","406","11.0","203","5.5","574","15.5","203","5.5","74","2.0","2","55","10.2%","38","1","6","14","5","2","0","0","36"
"70","Kalif Raymond (DET)","17","35","489","14.0","275","7.9","388","11.1","214","6.1","26","0.7","1","44","7.7%","37","2","4","23","9","3","2","0","41"
"71","Nelson Agholor (FA)","16","35","381","10.9","240","6.9","418","11.9","141","4.0","51","1.5","2","45","9.5%","37","2","7","18","4","2","0","0","37"
