"Rank","Player","G","REC","YDS","YBC","AIR","YAC","YACON","BRKTKL","TGT","CATCHABLE","DROP","RZ TGT","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS"
"1","Ja'Marr Chase (CIN)","17","7","100","54","90","46","17","1","10","8","1","2","4","1","1","0","0"
"2","Justin Jefferson (MIN)","17","6","90","62","98","29","7","0","9","6","0","1","3","2","1","0","0"
"3","Amon-Ra St. Brown (DET)","17","7","74","50","65","24","8","0","8","7","0","2","3","1","0","0","0"
"4","Brian Thomas Jr. (JAC)","17","5","75","42","89","33","11","0","8","6","0","1","2","1","1","0","0"
"5","Terry McLaurin (WAS)","17","5","64","47","92","17","6","0","7","5","0","1","2","1","0","0","0"
"6","Drake London (ATL)","17","6","75","56","103","19","9","0","9","6","0","1","4","1","0","0","0"
"7","Mike Evans (TB)","14","5","72","56","91","16","8","0","8","6","0","1","3","1","0","0","0"
"8","Malik Nabers (NYG)","15","7","80","49","103","31","14","1","11","8","1","1","3","1","0","0","0"
"9","CeeDee Lamb (DAL)","15","7","80","44","77","36","17","1","10","7","0","1","3","1","0","0","0"
"10","Courtland Sutton (DEN)","17","5","64","53","106","11","2","0","8","5","1","1","3","1","0","0","0"
"11","Ladd McConkey (LAC)","16","5","72","47","69","24","7","1","7","5","0","1","3","1","0","0","0"
"12","Davante Adams (LAR)","14","6","76","42","83","34","13","1","10","7","0","2","3","1","1","0","0"
"13","Jameson Williams (DET)","15","4","67","34","68","33","3","0","6","4","0","1","2","1","1","0","0"
"14","Jaxon Smith-Njigba (SEA)","17","6","66","38","70","28","8","0","8","6","0","1","3","1","0","0","0"
"15","Jerry Jeudy (CLE)","17","5","72","50","95","23","3","0","9","6","1","1","3","1","1","0","0"
"16","Garrett Wilson (NYJ)","17","6","65","39","82","26","9","0","9","6","0","1","3","1","0","0","0"
"17","A.J. Brown (PHI)","13","5","83","56","91","27","11","1","7","5","0","1","4","1","0","0","0"
"18","Jordan Addison (MIN)","15","4","58","44","86","14","5","0","7","4","0","1","2","1","0","0","0"
"19","Tee Higgins (CIN)","12","6","76","57","89","19","10","1","9","6","0","2","3","1","0","0","0"
"20","Nico Collins (HOU)","12","6","84","53","89","30","10","0","8","6","0","1","3","1","1","0","0"
"21","Jayden Reed (GB)","17","3","50","28","40","22","5","0","4","4","1","1","1","1","1","0","0"
"22","DJ Moore (CHI)","17","6","57","22","62","35","8","0","8","6","0","1","2","1","0","0","0"
"23","Tyreek Hill (MIA)","17","5","56","39","82","17","4","0","7","5","0","1","3","1","0","0","0"
"24","Zay Flowers (BAL)","17","4","62","35","68","27","8","0","7","5","0","0","3","1","0","0","0"
"25","Calvin Ridley (TEN)","17","4","60","46","108","14","5","0","7","4","0","0","2","1","1","0","0"
"26","Marvin Harrison Jr. (ARI)","17","4","52","43","91","9","3","0","7","4","0","1","2","1","0","0","0"
"27","Jauan Jennings (SF)","15","5","65","49","75","16","7","0","8","5","0","1","3","1","0","0","0"
"28","DeVonta Smith (PHI)","13","5","64","41","63","23","4","0","7","5","0","1","2","1","0","0","0"
"29","Jakobi Meyers (LV)","15","6","68","49","82","20","6","0","9","6","0","1","3","1","0","0","0"
"30","Rashod Bateman (BAL)","17","3","44","34","58","11","2","0","4","3","0","0","2","1","0","0","0"
"31","Darnell Mooney (ATL)","16","4","62","45","83","17","5","0","7","4","0","0","3","1","0","0","0"
"32","Xavier Worthy (KC)","17","3","38","14","53","24","5","0","6","4","0","1","2","0","0","0","0"
"33","Puka Nacua (LAR)","11","7","90","43","76","47","16","1","10","7","0","1","4","1","0","0","0"
"34","DK Metcalf (PIT)","15","4","66","49","94","18","6","0","7","5","0","0","3","1","0","0","0"
"35","Alec Pierce (IND)","16","2","52","44","93","7","2","0","4","3","0","0","2","1","1","0","0"
"36","Quentin Johnston (LAC)","15","4","47","27","66","20","6","1","6","4","0","1","2","1","0","0","0"
"37","Keenan Allen (LAC)","15","5","50","34","74","16","3","0","8","5","0","1","2","1","0","0","0"
"38","Josh Downs (IND)","14","5","57","29","55","28","7","0","8","6","0","1","3","1","0","0","0"
"39","Cooper Kupp (SEA)","12","6","59","37","65","22","5","0","8","6","0","1","2","1","0","0","0"
"40","Khalil Shakir (BUF)","15","5","55","15","37","40","13","0","7","5","0","1","2","1","0","0","0"
"41","George Pickens (DAL)","14","4","64","49","98","15","7","0","7","5","0","1","2","1","1","0","0"
"42","Nick Westbrook-Ikhine (MIA)","14","2","36","27","49","9","2","0","4","3","0","1","1","0","0","0","0"
"43","Jalen Tolbert (DAL)","17","3","36","26","53","10","2","0","5","3","0","1","1","0","0","0","0"
"44","Deebo Samuel Sr. (WAS)","15","3","45","17","36","28","14","1","5","4","0","1","2","1","0","0","0"
"45","Jalen McMillan (TB)","13","3","35","25","54","10","2","0","4","3","0","1","2","1","0","0","0"
"46","Michael Pittman Jr. (IND)","16","4","51","34","79","16","7","0","7","4","0","1","2","1","0","0","0"
"47","Demarcus Robinson (SF)","17","2","30","26","54","4","1","0","4","2","0","1","1","1","0","0","0"
"48","Jaylen Waddle (MIA)","16","4","47","32","52","15","3","0","5","4","1","1","2","1","0","0","0"
"49","Adam Thielen (CAR)","10","5","62","46","68","15","4","0","6","5","0","1","2","1","1","0","0"
"50","DeAndre Hopkins (BAL)","16","4","38","31","53","7","2","0","5","4","0","1","2","0","0","0","0"
"51","Rome Odunze (CHI)","17","3","43","28","82","15","4","0","6","4","0","1","2","0","0","0","0"
"52","Marvin Mims Jr. (DEN)","17","2","30","2","24","28","5","0","3","2","0","0","1","0","0","0","0"
"53","Wan'Dale Robinson (NYG)","17","5","41","20","40","21","8","1","8","6","0","1","1","0","0","0","0"
"54","Tank Dell (HOU)","14","4","48","36","72","12","3","0","6","4","0","1","2","1","0","0","0"
"55","Allen Lazard (NYJ)","12","3","44","31","57","13","6","0","5","4","1","1","2","1","0","0","0"
"56","Chris Godwin (TB)","7","7","82","32","51","50","18","1","9","7","0","1","3","1","0","0","0"
"57","Romeo Doubs (GB)","13","4","46","36","68","10","4","0","6","4","1","1","2","1","0","0","0"
"58","Andrei Iosivas (CIN)","17","2","28","24","40","4","1","0","4","2","0","1","1","0","0","0","0"
"59","Calvin Austin III (PIT)","17","2","32","23","42","9","2","0","3","2","0","0","1","1","0","0","0"
"60","Keon Coleman (BUF)","13","2","43","26","67","17","10","0","4","3","0","1","2","1","0","0","0"
"61","Tre Tucker (LV)","17","3","32","19","60","12","3","0","5","3","0","0","1","0","0","0","0"
"62","DeMario Douglas (NE)","17","4","37","15","30","21","5","0","5","4","0","0","1","0","0","0","0"
"63","Kayshon Boutte (NE)","15","3","39","29","66","10","3","0","5","3","0","0","1","1","0","0","0"
"64","Amari Cooper (FA)","13","3","42","34","80","9","3","0","7","4","1","0","2","1","0","0","0"
"65","Ray-Ray McCloud III (ATL)","17","4","40","21","35","20","7","0","5","4","0","0","2","0","0","0","0"
"66","Michael Wilson (ARI)","16","3","34","26","51","8","3","0","4","3","0","0","1","1","0","0","0"
"67","Christian Watson (GB)","15","2","41","31","63","10","1","0","4","2","0","1","1","1","1","0","0"
"68","Xavier Legette (CAR)","16","3","31","24","65","7","3","0","5","4","0","1","1","0","0","0","0"
"69","Jalen Nailor (MIN)","17","2","24","18","28","6","2","0","2","2","0","0","1","0","0","0","0"
"70","Stefon Diggs (NE)","8","6","62","39","70","23","7","0","8","6","0","1","3","1","0","0","0"
"71","KaVontae Turpin (DAL)","17","2","25","9","26","15","4","0","3","2","0","0","1","0","0","0","0"
