Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards,PlayerID
1,Ja'Marr Chase,24,CIN,WR,17,16,175,127,1708,13.4,17,75,62.3,70,7.5,100.5,72.6,9.8,0,PBAP-1AP MVP-8AP OPoY-3,ChasJa00
2,Amon-Ra St. Brown,25,DET,WR,17,17,141,115,1263,11.0,12,73,70.2,66,6.8,74.3,81.6,9.0,1,PBAP-1AP OPoY-11,StxxAm00
3,Brock Bowers,22,LVR,TE,17,16,153,112,1194,10.7,5,61,60.8,57,6.6,70.2,73.2,7.8,0,PBAP-1AP ORoY-2,BoweBr01
4,Trey McBride,25,ARI,TE,16,16,147,111,1146,10.3,2,63,63.3,37,6.9,71.6,75.5,7.8,0,PB,McBrTr01
5,Malik Nabers,21,NYG,WR,15,13,170,109,1204,11.0,7,55,51.2,59,7.3,80.3,64.1,7.1,1,PBAP ORoY-5,NabeMa00
6,Justin Jefferson,25,MIN,WR,17,17,154,103,1533,14.9,10,62,57.1,97,6.1,90.2,66.9,10.0,1,PBAP-1AP OPoY-7,JeffJu00
7,CeeDee Lamb,25,DAL,WR,15,15,152,101,1194,11.8,6,54,50.0,65,6.7,79.6,66.4,7.9,1,PBAP-2,LambCe00
8,Garrett Wilson,24,NYJ,WR,17,17,154,101,1104,10.9,7,60,53.9,42,5.9,64.9,65.6,7.2,2,,WilsGa00
9,Drake London,23,ATL,WR,17,17,158,100,1271,12.7,9,67,56.3,39,5.9,74.8,63.3,8.0,0,,LondDr00
10,Jaxon Smith-Njigba,22,SEA,WR,17,16,137,100,1130,11.3,6,57,58.4,46,5.9,66.5,73.0,8.2,1,PB,SmitJa06
