,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,-additional
Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards,-9999
1,Travis Kelce,34,KAN,TE,4,4,37,32,355,11.1,3,19,75.7,29,8.0,88.8,86.5,9.6,0,,KelcTr00
2,Rashee Rice,23,KAN,WR,4,4,33,26,262,10.1,1,15,63.6,39,6.5,65.5,78.8,7.9,2,,RiceRa01
3,Amon-Ra St. Brown,24,DET,WR,3,3,34,22,274,12.5,1,18,61.8,30,7.3,91.3,64.7,8.1,0,,StxxAm00
4,Sam LaPorta,22,DET,TE,3,3,27,21,176,8.4,1,11,59.3,16,7.0,58.7,77.8,6.5,0,,LaPoSa01
5,Christian McCaffrey,27,SFO,RB,3,3,25,19,152,8.0,1,5,40.0,28,6.3,50.7,76.0,6.1,1,,McCaCh01
6,Cade Otton,24,TAM,TE,2,2,19,13,154,11.8,1,10,57.9,27,6.5,77.0,68.4,8.1,0,,OttoCa00
7,Deebo Samuel,27,SFO,WR,3,3,22,13,146,11.2,0,6,45.5,26,4.3,48.7,59.1,6.6,0,,SamuDe00
8,Isiah Pacheco,24,KAN,RB,4,4,12,12,60,5.0,0,2,66.7,14,3.0,15.0,100.0,5.0,2,,PachIs00
9,Nico Collins,24,HOU,WR,2,2,17,11,164,14.9,1,9,52.9,38,5.5,82.0,64.7,9.6,0,,CollNi00
10,Mike Evans,30,TAM,WR,2,2,19,11,195,17.7,1,7,52.6,29,5.5,97.5,57.9,10.3,0,,EvanMi00
11,Jahmyr Gibbs,21,DET,RB,3,0,14,11,94,8.5,0,4,35.7,20,3.7,31.3,78.6,6.7,1,,GibbJa01
12,Stefon Diggs,30,BUF,WR,2,2,17,10,73,7.3,0,5,41.2,15,5.0,36.5,58.8,4.3,1,,DiggSt00
13,Romeo Doubs,23,GNB,WR,2,2,12,10,234,23.4,1,8,83.3,46,5.0,117.0,83.3,19.5,0,,DoubRo00
14,Jake Ferguson,24,DAL,TE,1,1,12,10,93,9.3,3,7,75.0,22,10.0,93.0,83.3,7.8,0,,FergJa00
15,Jauan Jennings,26,SFO,WR,3,0,13,10,111,11.1,1,8,69.2,23,3.3,37.0,76.9,8.5,0,,JennJa00
16,Khalil Shakir,23,BUF,WR,2,2,12,10,75,7.5,2,6,66.7,17,5.0,37.5,83.3,6.3,0,,ShakKh00
