,,,,,,,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,,,-additional
Rk,Player,Age,Team,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Awards,-9999
1,Saquon Barkley,27,PHI,RB,4,4,91,499,5,17,38.5,78,5.5,124.8,22.8,0,,BarkSa00
2,James Cook,25,BUF,RB,3,3,53,272,3,15,58.5,33,5.1,90.7,17.7,0,,CookJa01
3,Joe Mixon,28,HOU,RB,2,2,43,194,2,8,55.8,17,4.5,97.0,21.5,1,,MixoJo00
4,Derrick Henry,30,BAL,RB,2,2,42,270,3,12,52.4,44,6.4,135.0,21.0,0,,HenrDe00
5,Brian Robinson Jr.,25,WAS,RB,3,3,36,129,2,7,58.3,15,3.6,43.0,12.0,0,,RobiBr01
6,Jayden Daniels,24,WAS,QB,3,3,35,135,1,9,48.6,19,3.9,45.0,11.7,0,,DaniJa02
7,Kyren Williams,24,LAR,RB,2,2,35,182,0,7,45.7,30,5.2,91.0,17.5,1,,WillKy02
8,Jalen Hurts,26,PHI,QB,4,4,34,194,5,14,55.9,44,5.7,48.5,8.5,1,SB MVP,HurtJa00
9,Josh Allen,28,BUF,QB,3,3,29,105,2,14,65.5,13,3.6,35.0,9.7,3,,AlleJo02
10,Kareem Hunt,29,KAN,RB,3,0,28,117,2,8,53.6,12,4.2,39.0,9.3,0,,HuntKa00
11,Austin Ekeler,29,WAS,RB,3,0,22,89,0,3,36.4,35,4.0,29.7,7.3,1,,EkelAu00
12,Patrick Mahomes,29,KAN,QB,3,3,22,82,2,7,45.5,15,3.7,27.3,7.3,3,,MahoPa00
13,Lamar Jackson,27,BAL,QB,2,2,21,120,0,8,61.9,20,5.7,60.0,10.5,1,,JackLa00
14,Ty Johnson,27,BUF,RB,3,1,20,94,0,5,50.0,17,4.7,31.3,6.7,0,,JohnTy02
15,Josh Jacobs,26,GNB,RB,1,1,18,81,1,2,44.4,31,4.5,81.0,18.0,1,,JacoJo01
16,Bucky Irving,22,TAM,RB,1,1,17,77,0,3,58.8,19,4.5,77.0,17.0,0,,IrviBu00
17,Jahmyr Gibbs,22,DET,RB,1,0,14,105,2,6,57.1,33,7.5,105.0,14.0,0,,GibbJa01
18,Kenneth Gainwell,25,PHI,RB,4,0,13,42,0,3,46.2,10,3.2,10.5,3.3,0,,GainKe00
19,Aaron Jones,30,MIN,RB,1,1,13,48,0,1,30.8,13,3.7,48.0,13.0,0,,JoneAa00
20,Isiah Pacheco,25,KAN,RB,3,3,13,37,0,0,30.8,10,2.8,12.3,4.3,0,,PachIs00
21,Justice Hill,27,BAL,RB,2,0,12,62,0,4,58.3,22,5.2,31.0,6.0,0,,HillJu00
22,C.J. Stroud,23,HOU,QB,2,2,12,84,0,5,50.0,28,7.0,42.0,6.0,2,,StroCJ00
23,J.K. Dobbins,26,LAC,RB,1,1,9,26,0,2,33.3,8,2.9,26.0,9.0,0,,DobbJK00
24,Ray Davis,25,BUF,RB,3,0,7,36,1,2,71.4,16,5.1,12.0,2.3,1,,DaviRa04
25,Gus Edwards,29,LAC,RB,1,0,7,22,0,1,57.1,8,3.1,22.0,7.0,0,,EdwaGu00
